input ,output,instruction,prompt
:question: Plan a 5-day itinerary for Kolkata. ,"Day 1: Victoria Memorial, Howrah Bridge. Day 2: St. Paul's Cathedral, Belur Math. Day 3: Indian Museum, Dakshineswar Kali Temple. Day 4: Birla Mandir, South Park Street Cemetery. Day 5: Prinsep Ghat, Kali Temple.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Kolkata, India."
:question: What are the popular dishes in Kolkata?,"Luchi Aloo Dum, Chaat, Alur Dum, Rasgulla, Jhal Muri.","Answer the question truthfully, you are a travel expert.","List popular dishes from Kolkata, India."
:question: What is the best time to visit Lucknow?,"September to March, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Lucknow, India."
:question: Plan a 5-day itinerary for Lucknow. ,"Day 1: Bada Imambara, Rumi Darwaza. Day 2: Chhota Imambara, Dilkusha Kothi. Day 3: Husainabad Clock Tower, Aminabad Market. Day 4: Ram Manohar Lohia Park, Lucknow Zoo. Day 5: La Martiniere College, Sikandarbagh.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Lucknow, India."
:question: What are the popular dishes in Lucknow?,"Biryani, Kebab, Tunday Kebab, Galauti Kebab, Chaat.","Answer the question truthfully, you are a travel expert.","List popular dishes from Lucknow, India."
:question: What is the best time to visit Madurai?,"August to March, during the monsoon season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Madurai, India."
:question: What is the best time to visit Jaipur?,"November to February, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Jaipur, India."
:question: Plan a 5-day itinerary for Jaipur. ,"Day 1: Hawa Mahal, City Palace. Day 2: Jantar Mantar, Jaigarh Fort. Day 3: Amber Fort, Nahargarh Fort. Day 4: Jaipur Zoo, Albert Hall Museum. Day 5: Birla Mandir, Sisodia Rani Ka Bagh.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Jaipur, India."
:question: What are the popular dishes in Jaipur?,"Biryani, Dal Baati Churma, Gatte Ki Sabzi, Kachori, Lassi.","Answer the question truthfully, you are a travel expert.","List popular dishes from Jaipur, India."
:question: What is the best time to visit Jaisalmer?,"October to March, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Jaisalmer, India."
:question: Plan a 5-day itinerary for Jaisalmer. ,"Day 1: Jaisalmer Fort, Patwon Ki Haveli. Day 2: Sam Sand Dunes, Kuldhara Village. Day 3: Salim Singh Ki Haveli, Gadisar Lake. Day 4: Jain Temples, Desert Cultural Centre. Day 5: Bada Bagh, Tanot Mata Temple.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Jaisalmer, India."
:question: What are the popular dishes in Jaisalmer?,"Biryani, Samosa, Rajma Chawal, Chole Bhature, Lassi.","Answer the question truthfully, you are a travel expert.","List popular dishes from Jaisalmer, India."
:question: What is the best time to visit Jodhpur?,"October to March, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Jodhpur, India."
:question: Plan a 5-day itinerary for Jodhpur. ,"Day 1: Mehrangarh Fort, Jaswant Thada. Day 2: Mandore Gardens, Umaid Bhawan Palace. Day 3: Khetri Mahal, Balsamand Lake. Day 4: Clock Tower, Sardar Market. Day 5: Rao Jodha Desert Rock Park, Kaylana Lake.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Jodhpur, India."
:question: What are the popular dishes in Jodhpur?,"Biryani, Dal Baati Churma, Gatte Ki Sabzi, Kachori, Lassi.","Answer the question truthfully, you are a travel expert.","List popular dishes from Jodhpur, India."
:question: What is the best time to visit Varanasi?,"October to March, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Varanasi, India."
:question: Plan a 5-day itinerary for Varanasi. ,"Day 1: Kashi Vishwanath Temple, Dashashwamedh Ghat. Day 2: Assi Ghat, Manikarnika Ghat. Day 3: Sarnath, Deer Park. Day 4: Harishchandra Ghat, Ghats Boat Tour. Day 5: New Vishwanath Temple, Tulsi Manas Temple.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Varanasi, India."
:question: What are the popular dishes in Varanasi?,"Biryani, Lassi, Kachori, Puri Sabji, Chaat.","Answer the question truthfully, you are a travel expert.","List popular dishes from Varanasi, India."
:question: What is the best time to visit Agra?,"October to March, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Agra, India."
:question: Plan a 5-day itinerary for Agra. ,"Day 1: Taj Mahal, Agra Fort. Day 2: Fatehpur Sikri, Panch Mahal. Day 3: Itimad-ud-Daulah, Mehtab Bagh. Day 4: Tomb of Akbar, Jodha Bai's Palace. Day 5: Taj Nature Walk, Keetham Lake.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Agra, India."
:question: What are the popular dishes in Agra?,"Biryani, Paneer Tikka, Kebab, Lassi, Chaat.","Answer the question truthfully, you are a travel expert.","List popular dishes from Agra, India."
:question: What is the best time to visit Udaipur?,"September to March, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Udaipur, India."
:question: Plan a 5-day itinerary for Udaipur. ,"Day 1: City Palace, Lake Pichola. Day 2: Jagmandir, Lake Fateh Sagar. Day 3: Saheliyon-ki-Bari, Jagat Temple. Day 4: Monsoon Palace, Pratap Memorial. Day 5: Kumbhalgarh Fort, Badi Jain Temple.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Udaipur, India."
:question: What are the popular dishes in Udaipur?,"Biryani, Dal Baati Churma, Gatte Ki Sabzi, Samosa, Lassi.","Answer the question truthfully, you are a travel expert.","List popular dishes from Udaipur, India."
:question: What is the best time to visit Mumbai?,"November to February, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Mumbai, India."
:question: Plan a 5-day itinerary for Mumbai. ,"Day 1: Gateway of India, Elephanta Caves. Day 2: Marine Drive, Bandra-Worli Sea Link. Day 3: Juhu Beach, Haji Ali Dargah. Day 4: Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Hanging Gardens. Day 5: Colaba Causeway Market, Marine Drive.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Mumbai, India."
:question: What are the popular dishes in Mumbai?,"Vada Pav, Pav Bhaji, Dahi Vada, Samosa, Pani Puri.","Answer the question truthfully, you are a travel expert.","List popular dishes from Mumbai, India."
:question: What is the best time to visit Jaipur?,"November to February, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Jaipur, India."
:question: Plan a 5-day itinerary for Jaipur. ,"Day 1: Amer Fort, Hawa Mahal. Day 2: Jaigarh Fort, Nahargarh Fort. Day 3: Jantar Mantar, City Palace. Day 4: Albert Hall Museum, Birla Mandir. Day 5: Rambagh Palace, Chokhi Dhani.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Jaipur, India."
:question: What are the popular dishes in Jaipur?,"Biryani, Gatte Ki Sabzi, Pyaaz Kachori, Rajasthani Thali, Lassi.","Answer the question truthfully, you are a travel expert.","List popular dishes from Jaipur, India."
:question: What is the best time to visit Amritsar?,"November to March, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Amritsar, India."
:question: Plan a 5-day itinerary for Amritsar. ,"Day 1: Golden Temple, Jallianwala Bagh. Day 2: Wagah Border, Dera Baba Banda Singh. Day 3: Maharaja Ranjit Singh Museum, Durgiana Temple. Day 4: Hall Bazaar, Amritsar Cantonment. Day 5: Khalsa College, Maharaja Ranjit Singh Statue.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Amritsar, India."
:question: What are the popular dishes in Amritsar?,"Amritsari Kulcha, Chole Bhature, Lassi, Rajma Chawal, Chaat.","Answer the question truthfully, you are a travel expert.","List popular dishes from Amritsar, India."
:question: Plan a 5-day itinerary for Kolkata. ,"Day 1: Victoria Memorial, Howrah Bridge. Day 2: Belur Math, Dakshineswar Kali Temple. Day 3: St. Paul's Cathedral, Indian Museum. Day 4: Eden Gardens, Mother's Wax Museum. Day 5: Nicco Park, Millennium Park.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Kolkata, India."
:question: What are the popular dishes in Kolkata?,"Rosogolla, Luchi-Aloo Dum, Fish Curry, Roll, Chai.","Answer the question truthfully, you are a travel expert.","List popular dishes from Kolkata, India."
:question: What is the best time to visit Kochi?,"October to March, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Kochi, India."
:question: Plan a 5-day itinerary for Kochi. ,"Day 1: Fort Kochi, Chinese Fishing Nets. Day 2: Mattancherry Palace, Paradesi Synagogue. Day 3: St. Francis Church, Kuzhikottu Palace. Day 4: Cherai Beach, Bolgatty Palace. Day 5: Vypeen Island, Pallipuram Fort.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Kochi, India."
:question: What are the popular dishes in Kochi?,"Appam, Rice Boat, Idiyappam, Fish Curry, Dosa.","Answer the question truthfully, you are a travel expert.","List popular dishes from Kochi, India."
:question: What is the best time to visit Bhopal?,"October to March, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Bhopal, India."
:question: Plan a 5-day itinerary for Bhopal. ,"Day 1: Taj-ul-Masjid, Lakshmi Narayan Temple. Day 2: Van Vihar National Park, Bharat Bhavan. Day 3: Raisen Fort, Gohar Mahal. Day 4: Bhojpur Temple, Sanchi Stupa. Day 5: Dhauli Hill, Buddha Vihar.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Bhopal, India."
:question: What are the popular dishes in Bhopal?,"Biryani, Kebab, Poha Jalebi, Dal Baati Churma, Chaat.","Answer the question truthfully, you are a travel expert.","List popular dishes from Bhopal, India."
:question: What is the best time to visit Patna?,"October to March, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Patna, India."
:question: Plan a 5-day itinerary for Patna. ,"Day 1: Mahavir Mandir, Patan Devi Temple. Day 2: Gandhi Maidan, Bihar Museum. Day 3: Takht Sri Harmandir Sahib Ji, Sanjay Gandhi Jaivik Udyan. Day 4: Agam Kuan, Bihar State Museum. Day 5: Patna Planetarium, Raja Rammohan Roy Park.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Patna, India."
:question: What are the popular dishes in Patna?,"Litti Chokha, Sattu Paratha, Thekua, Dahi Vada, Chaat.","Answer the question truthfully, you are a travel expert.","List popular dishes from Patna, India."
:question: What is the best time to visit Hyderabad?,"October to March, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Hyderabad, India."
:question: Plan a 5-day itinerary for Hyderabad. ,"Day 1: Charminar, Chowmahalla Palace. Day 2: Salar Jung Museum, Nehru Zoological Park. Day 3: Hussain Sagar Lake, Lumbini Park. Day 4: Ramoji Film City, Golkonda Fort. Day 5: Chilkur Balaji Temple, Birla Mandir.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Hyderabad, India."
:question: What are the popular dishes in Hyderabad?,"Biryani, Haleem, Nihari, Dosa, Idli.","Answer the question truthfully, you are a travel expert.","List popular dishes from Hyderabad, India."
:question: What is the best time to visit Pune?,"October to February, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Pune, India."
:question: Plan a 5-day itinerary for Pune. ,"Day 1: Shaniwar Wada Fort, Aga Khan Palace. Day 2: Sinhagad Fort, Raja Dinkar Kelkar Museum. Day 3: Vetal Hill, Osho Ashram. Day 4: Rajgad Fort, Dagdusheth Halwai Ganpati Mandir. Day 5: Karla Caves, Bhaja Caves.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Pune, India."
:question: What are the popular dishes in Pune?,"Vada Pav, Misal Pav, Saoji Curry, Modak, Puran Poli.","Answer the question truthfully, you are a travel expert.","List popular dishes from Pune, India."
:question: What is the best time to visit Jaipur?,"October to March, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Jaipur, India."
:question: Plan a 5-day itinerary for Jaipur. ,"Day 1: Hawa Mahal, Jantar Mantar. Day 2: Amer Fort, Jaigarh Fort. Day 3: City Palace, Jal Mahal. Day 4: Ranthambore National Park, Chambal River Safari. Day 5: Nahargarh Fort, Albert Hall Museum.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Jaipur, India."
:question: What are the popular dishes in Jaipur?,"Dal Baati Churma, Rajasthani Thali, Gatte Ki Sabzi, Kadhi, Bajre ki Roti.","Answer the question truthfully, you are a travel expert.","List popular dishes from Jaipur, India."
:question: Plan a 5-day itinerary for Kolkata. ,"Day 1: Victoria Memorial, Howrah Bridge. Day 2: St. Paul's Cathedral, Indian Museum. Day 3: South Park Street Cemetery, Belur Math. Day 4: Alipore Zoo, Nicco Park. Day 5: Dakshineswar Kali Temple, Birla Mandir.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Kolkata, India."
:question: What are the popular dishes in Kolkata?,"Luchi Aloo Dum, Mishti Doi, Fish Curry, Rosogolla, Cholar Dal.","Answer the question truthfully, you are a travel expert.","List popular dishes from Kolkata, India."
